epoch,iso,id_hex,extended,dlc,b0,b1,b2,b3,b4,b5,b6,b7
1756483008.092485,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.092676,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.092911,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.094370,2025-08-29T16:56:48,00000780,0,2,69,213,,,,,,
1756483008.094517,2025-08-29T16:56:48,00000167,0,3,127,48,0,,,,,
1756483008.094655,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.094870,2025-08-29T16:56:48,00000040,0,6,10,0,2,3,0,0,,
1756483008.094985,2025-08-29T16:56:48,000003B6,0,1,0,,,,,,,
1756483008.095121,2025-08-29T16:56:48,000003B5,0,2,0,0,,,,,,
1756483008.095360,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.095610,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.095781,2025-08-29T16:56:48,00000030,0,4,0,0,192,94,,,,
1756483008.098275,2025-08-29T16:56:48,0000000A,1,8,0,0,255,252,0,0,1,245
1756483008.098563,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,58,255,255,254,168
1756483008.098861,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.102382,2025-08-29T16:56:48,00000014,1,8,0,0,0,3,0,0,1,239
1756483008.102669,2025-08-29T16:56:48,00000E14,1,8,255,255,254,75,0,0,0,5
1756483008.102957,2025-08-29T16:56:48,00001014,1,8,1,5,0,226,0,0,0,0
1756483008.103237,2025-08-29T16:56:48,00003A14,1,8,5,146,12,151,5,146,0,0
1756483008.103486,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.103689,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.103910,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.104207,2025-08-29T16:56:48,0000170A,1,8,255,255,232,145,0,0,185,139
1756483008.104484,2025-08-29T16:56:48,00001714,1,8,255,255,232,145,0,0,185,139
1756483008.104736,2025-08-29T16:56:48,000000D2,0,8,0,0,0,0,10,0,0,0
1756483008.104988,2025-08-29T16:56:48,00000610,0,8,0,0,0,0,0,0,0,0
1756483008.105487,2025-08-29T16:56:48,00000030,0,4,0,0,192,95,,,,
1756483008.112489,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.112661,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.112893,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.114297,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.114544,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.114798,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.115364,2025-08-29T16:56:48,00000030,0,4,0,0,192,96,,,,
1756483008.118269,2025-08-29T16:56:48,0000000A,1,8,0,0,255,252,0,0,1,245
1756483008.118566,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,44,255,255,254,146
1756483008.118861,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.122381,2025-08-29T16:56:48,00000014,1,8,0,0,0,4,0,0,1,239
1756483008.122675,2025-08-29T16:56:48,00000E14,1,8,255,255,254,87,0,0,0,1
1756483008.122974,2025-08-29T16:56:48,00001014,1,8,1,5,0,226,0,0,0,0
1756483008.123191,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.123413,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.123634,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.125341,2025-08-29T16:56:48,00000030,0,4,0,0,192,97,,,,
1756483008.132492,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.132666,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.132896,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.134327,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.134549,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.134792,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.135341,2025-08-29T16:56:48,00000030,0,4,0,0,192,98,,,,
1756483008.138283,2025-08-29T16:56:48,0000000A,1,8,0,0,0,3,0,0,1,245
1756483008.138569,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,57,255,255,254,161
1756483008.138852,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.140013,2025-08-29T16:56:48,00000500,0,8,240,100,0,20,0,0,255,255
1756483008.142380,2025-08-29T16:56:48,00000014,1,8,0,0,0,3,0,0,1,239
1756483008.142673,2025-08-29T16:56:48,00000E14,1,8,255,255,254,96,0,0,0,16
1756483008.142967,2025-08-29T16:56:48,00001014,1,8,1,5,0,226,0,0,0,0
1756483008.143203,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.143417,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.143648,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.144303,2025-08-29T16:56:48,00000780,0,2,70,213,,,,,,
1756483008.145342,2025-08-29T16:56:48,00000030,0,4,0,0,192,99,,,,
1756483008.152525,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.152677,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.152903,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.153191,2025-08-29T16:56:48,0000170A,1,8,255,255,232,145,0,0,185,139
1756483008.153496,2025-08-29T16:56:48,00001714,1,8,255,255,232,145,0,0,185,139
1756483008.153721,2025-08-29T16:56:48,000000D2,0,8,0,0,0,0,10,0,0,0
1756483008.153967,2025-08-29T16:56:48,000005FF,0,8,100,100,0,0,0,0,17,100
1756483008.154217,2025-08-29T16:56:48,00000620,0,8,0,0,0,0,232,46,0,0
1756483008.154496,2025-08-29T16:56:48,00000618,0,8,0,0,10,0,0,0,0,0
1756483008.154720,2025-08-29T16:56:48,00000600,0,8,0,0,0,0,0,0,0,0
1756483008.154855,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.155095,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.155341,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.155514,2025-08-29T16:56:48,00000030,0,4,0,0,192,100,,,,
1756483008.158290,2025-08-29T16:56:48,0000000A,1,8,0,0,0,3,0,0,1,245
1756483008.158573,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,47,255,255,254,156
1756483008.158856,2025-08-29T16:56:48,0000100A,1,8,1,10,0,243,0,0,0,0
1756483008.162383,2025-08-29T16:56:48,00000014,1,8,0,0,0,4,0,0,1,239
1756483008.162683,2025-08-29T16:56:48,00000E14,1,8,255,255,254,90,0,0,0,7
1756483008.162978,2025-08-29T16:56:48,00001014,1,8,1,5,0,226,0,0,0,0
1756483008.163200,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.163423,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.163652,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.165366,2025-08-29T16:56:48,00000030,0,4,0,0,192,101,,,,
1756483008.172503,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.172664,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.172880,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.174309,2025-08-29T16:56:48,000003B4,0,2,0,0,,,,,,
1756483008.174555,2025-08-29T16:56:48,00000157,0,8,160,15,0,3,1,18,0,0
1756483008.174798,2025-08-29T16:56:48,00000158,0,8,0,0,0,0,0,0,0,0
1756483008.175345,2025-08-29T16:56:48,00000030,0,4,0,0,192,102,,,,
1756483008.178282,2025-08-29T16:56:48,0000000A,1,8,0,0,255,253,0,0,1,245
1756483008.178566,2025-08-29T16:56:48,00000E0A,1,8,255,255,255,52,255,255,254,170
1756483008.178856,2025-08-29T16:56:48,0000100A,1,8,1,10,0,244,0,0,0,0
1756483008.179146,2025-08-29T16:56:48,00003A0A,1,8,5,193,12,172,5,193,0,0
1756483008.182388,2025-08-29T16:56:48,00000014,1,8,0,0,0,3,0,0,1,239
1756483008.182666,2025-08-29T16:56:48,00000E14,1,8,255,255,254,104,0,0,0,0
1756483008.182972,2025-08-29T16:56:48,00001014,1,8,1,5,0,226,0,0,0,0
1756483008.183195,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.183429,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.183638,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
1756483008.185357,2025-08-29T16:56:48,00000030,0,4,0,0,192,103,,,,
1756483008.189949,2025-08-29T16:56:48,00000500,0,8,240,100,0,20,0,0,255,255
1756483008.192501,2025-08-29T16:56:48,00000038,0,7,140,0,0,248,255,0,0,
1756483008.192697,2025-08-29T16:56:48,0000020A,1,4,0,0,1,243,,,,
1756483008.192909,2025-08-29T16:56:48,00000214,1,4,0,0,1,243,,,,
